prediction,target
92.5006561568704,99.0
92.6298073693373,95.0
92.6298073693373,95.0
85.09196235281726,78.0
80.8655261140926,70.0
89.58305685931614,90.0
85.91315920493244,100.0
89.43853333936086,98.0
26.28518707871217,12.0
83.02844484200956,100.0
89.83606872858567,100.0
88.40708834661022,90.0
86.61510394203005,100.0
93.79875973332986,100.0
92.55911559951177,95.0
92.55491273817326,99.0
76.17012271649875,97.5
92.76855647078176,95.0
78.75988486203974,70.0
64.0222075245451,25.0
80.29393463049028,80.0
86.19900981417238,80.0
82.98599192708639,77.0
88.29539502418443,90.0
89.39786651845878,87.0
78.53907818849319,60.0
91.44016534054828,90.0
81.26079328768122,88.0
92.97465957024724,100.0
63.26161294380621,50.0
83.80270639175143,80.0
89.83606872858567,100.0
92.36277944447794,97.0
87.05628348754752,80.0
87.05628348754752,80.0
93.78239197942867,95.0
92.56521581952738,100.0
94.07197922560741,100.0
92.59265008236436,90.0
91.58395081169049,100.0
86.79492863023142,98.0
72.44083246957399,95.0
92.72721773686206,97.0
93.78239197942867,95.0
78.65080553650364,100.0
87.63479295857135,100.0
91.58395081169049,100.0
43.46366167655613,13.0
91.77206365065594,91.5
83.61254160026625,100.0
93.07799062098779,100.0
93.78239197942867,90.0
91.534337837629,100.0
76.17012271649875,28.0
94.30528516146941,100.0
90.36817924743896,95.0
85.98903391074444,100.0
77.66452089120676,87.0
93.92300277433858,100.0
91.84842627740186,100.0
82.76559520795776,80.0
76.54087770521487,70.0
83.41886890140312,90.0
82.98599192708639,77.0
92.24353066523217,100.0
92.47275760010636,100.0
91.18185522162979,85.0
87.12605854903596,80.0
93.13880006741809,100.0
88.81044577135829,95.0
91.85906746564022,95.0
94.77333881153977,100.0
28.71411670930655,5.0
89.43853333936086,100.0
92.6298073693373,95.0
93.29418049948683,100.0
80.8655261140926,70.0
64.0222075245451,99.0
83.02844484200956,27.0
79.82599701562133,73.0
34.6362679403322,28.0
90.24497268298872,100.0
90.7197762733358,90.0
81.74681351125301,60.0
84.72301298920836,80.0
91.35790415278582,90.0
89.83606872858567,70.0
85.39549121555652,98.0
69.0263055913991,50.0
93.6410983178679,98.0
90.23148822858049,95.0
93.29165764271926,100.0
72.44083246957399,25.0
88.41828907666473,95.0
90.7197762733358,87.0
83.51434421324667,90.0
87.79664692948599,95.0
78.43487508916503,80.0

Metric rmse = ,14.17855695856272

Metric,Score
MAE,9.896987192094015
MSE,201.03147742720734
RMSE,14.17855695856272
R2,0.5983819028421248
MAPE,0.24445752170855362
